MapUnit,Name,FullName,Age,Thickness,Description
af,Artificial Fill,Artificial Fill,Quaternary; Pleistocene and Holocene,0-240,"Stable fill on gentle slopes, and stabilized engineered structures."
Qal,Alluvium,Alluvium,Quaternary; Pleistocene and Holocene,0-20,"Clay, silt, sand, and gravel unconsolidated stream deposits."
Qc,Colluvium,Colluvium,Quaternary; Pleistocene and Holocene,0-30,"Boulders, angular to sub-rounded, clay and sand matrix, in unconsolidated slope deposits."
Pb,Breathitt Formation,Breathitt Formation,Pennsylvanian; Lower and Middle Pennsylvanian,3300+,"Shale, silty, gray, (weathers brown), occasionally laminated, often micaceous with abundant macerated plant remains. Siltstone, dark-gray to light-gray, (weathers yellowish-brown), massive to bedded. Fossil leaf, stem imprints, and siderite nodules common. Clay shale, medium-gray to black, (weathers yellowish-brown), often contains fossil plant imprints and siderite nodules. Sandstone, very light-gray to gray, fine- to coarse-grained, thin-bedded to massive, usually in multiple crosslaminated beds up to 40 feet thick. Sandstones in higher parts of the formation are often impure, gray, speckled with lithic fragments and mica, and occur in beds up to 100 feet thick. All sandstones are discontinuous laterally and may pinch or feather out abruptly. Underclay, light- to medium-gray, commonly silty, contains abundant Stigmaria, ranges up to three feet in thickness, commonly underlying coal beds. Magoffin zone is a thin shale bed containing abundant productid brachiopods, gastropods, cephalopods, and ostracods at the base of a coarsening upwards sequence of shale and siltstone."
Pb,Magoffin zone,"Magoffin zone, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,,
Pb,Unnamed coal,"Unnamed coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"21""",
Pb,Hignite coal,"Hignite coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"18-51""; 28""",
Pb,Stray coal zone,"Stray coal zone, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"12""; 10""; 18""; 10""",
Pb,Sterling coal,"Sterling coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"30-68""",
Pb,Poplar Lick coal,"Poplar Lick coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"10-12""",
Pb,Buckeye Springs coal,"Buckeye Springs coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"21-41""",
Pb,Mingo coal zone,"Mingo coal zone, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"8-18""; 30-60""; 0-20""",
Pb,Rich Mtn. coal,"Rich Mtn. coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"27?""",
Pb,Kent coal,"Kent coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"12""; 24-48""",
Pb,Neese coal,"Neese coal, Breathitt Formation",Pennsylvanian; Lower and Middle Pennsylvanian,"10""",
